,Energy_HighTech,Energy_RnD,Energy_Patents,Openness_Top10Income_INV,Openness_HumanCapital,Cohesion_Gini_INV,Cohesion_Homicide_INV,Demography_Fertility,Hard_Population,Hard_GDP_USD,Hard_Military_Pct,Geo_Freshwater,Geo_ArableLand,Hard_EnergyVulnerability_INV,Openness_RegQuality,Cohesion_GovEffectiveness
EST,18.382980141257,1.83878,25.0,23.7,,30.7,1.53599045052794,1.18,1372341.0,43130419829.35,3.37400221824601,12.71,711000.0,3.77111519842947,,
GRC,15.011494857431,1.4943,394.0,26.0,,33.4,0.839605274224601,1.24,10405134.0,256238371778.118,3.12797536550149,58.0,1861153.1,89.2460562263153,,
SRB,,0.93978,138.0,24.7,,32.8,1.31400205013848,1.64,6586476.0,90097765959.1114,2.59513983105714,8.407,2603000.0,42.5514943717482,,
BGR,13.4299683659831,0.79224,165.0,31.1,,39.5,1.08890737415431,1.72,6441421.0,113343355779.985,2.14947328244853,21.0,3486550.0,40.9310458153299,,
HRV,11.6739199311189,1.38621,77.0,23.3,,30.1,0.667347104040825,1.46,3866200.0,92983810328.9088,1.79323424509814,37.7,868000.0,57.2910760073134,,
SVN,8.34338034336379,2.13385,222.0,20.6,,24.7,0.566466326409227,1.52,2127400.0,72972015197.3859,1.31001116486788,18.67,178890.0,48.9021824108035,,
BIH,6.16317357059664,0.21437,53.0,23.6,,30.3,1.22446173133237,1.492,3164253.0,29613572022.8993,0.747079920408854,35.5,370000.0,24.9320415177106,,
ALB,1.52935344981595,0.19997,23.0,22.8,,29.4,1.38708340817063,1.341,2377128.0,27046429296.6673,2.03786228936679,26.9,590700.0,22.7015590200443,,
MKD,6.3599119716616,0.37363,42.0,22.9,,33.5,1.52854990019388,1.4,1824359.0,16951682245.4202,2.10352863426818,5.4,416000.0,63.8098670871817,,
MNE,14.4622662813729,0.36328,5.0,24.7,,34.3,0.789201202111271,1.8,623525.0,8270016670.86774,1.83253539270475,,9050.0,24.3527580071175,,
CHN,26.2777380479223,2.57729,1426644.0,28.4,,36.0,0.5018560705357,1.013,1408975000.0,18743803170827.2,1.71129740345228,2812.9,108427100.0,23.9617588276826,,
JPN,17.5547415163067,3.44125,222452.0,24.3,,32.3,0.229153196964695,1.15,123975371.0,4027597523550.58,1.37139689580634,430.0,4044000.0,87.2798853157027,,
IND,18.5723946411049,0.64558,26267.0,22.1,,25.5,2.81530423021647,1.962,1450935791.0,3909891533858.08,2.2712033218142,1446.0,153868700.0,36.0871843474496,,
KOR,36.2582559366674,4.94352,186245.0,25.0,,32.9,0.477306316584835,0.748,51751065.0,1875388209406.8,2.56205259386748,64.85,1456000.0,84.6000911986392,,
AUS,25.1586416457084,1.85783,2966.0,25.9,,33.8,0.854406035826682,1.481,27196812.0,1757022451652.83,1.8837883329175,492.0,30989678.2,-214.471540281044,,
NZL,12.9670750449435,1.54848,330.0,,,,1.46149415952832,1.57,5287500.0,260172385097.616,1.19404695449297,327.0,520000.0,31.6329616305902,,
IDN,8.7110437578916,0.28068,1397.0,28.7,,34.4,0.303768746039586,2.115,283487931.0,1396300098190.97,0.779216788275608,2018.7,17782903.0,-89.548816280588,,
VNM,44.256885251682,0.41456,1066.0,28.1,,36.1,,1.895,100987686.0,476388230307.175,1.80650138874311,359.42,6728480.0,33.9991947830939,,
PHL,60.975307025875,0.27625,490.0,31.6,,39.3,4.34759149828352,1.894,115843670.0,461617509782.355,1.32426895346612,479.0,5590000.0,54.4250767667774,,
MYS,58.6276748543331,1.0121,883.0,30.9,,40.7,0.734492430713877,1.543,35557673.0,422227005428.688,0.987556748730683,580.0,784300.0,-0.578726686040022,,
SGP,59.429782938503,1.80821,2024.0,,,,0.0690954942050905,0.97,6036860.0,547386645891.847,2.8417655746547,0.6,560.0,279.622693982082,,
THA,28.3057768762254,0.93628,867.0,26.0,,33.3,,1.204,71668011.0,526517658841.684,1.07876078016919,224.51,15835200.0,57.5142566317877,,
PAK,2.43815248015808,0.16399,426.0,27.7,,33.5,4.33487075793336,3.547,251269164.0,371570000121.266,2.66760037007452,55.0,30260000.0,39.7925509388676,,
BGD,0.539452073551698,,74.0,25.5,,30.9,2.34217668208578,2.138,173562364.0,450119432068.852,0.941321120606305,105.0,7880400.0,44.3070258449266,,
LKA,1.53793971540437,0.10506,266.0,30.8,,37.7,3.31094038448808,1.952,21916000.0,98963185509.6499,1.42539087177796,52.8,1372000.0,60.0395802943756,,
MNG,22.5365545669935,0.08365,109.0,24.6,,31.4,5.91503475082916,2.5,3524788.0,23794540024.5132,0.742307300960191,34.8,1143268.5,-226.427034086937,,
NPL,0.617520704475872,,20.0,24.2,,30.0,2.13004129984372,1.961,29651054.0,42914268286.7109,0.979452474186084,198.2,1803800.0,27.4137248718471,,
KHM,5.26214140574212,0.08828,1.0,,,,,2.548,17638801.0,46352647037.2406,1.52066451977199,120.6,4120139.7,58.9313079941395,,
MMR,5.19991999790977,0.02307,,25.5,,30.7,2.57510107248619,2.098,54500091.0,74068349523.8095,6.79452485229039,1002.8,11007332.0,-19.025954239222,,
KAZ,42.19530029659,0.16242,803.0,24.8,,29.2,2.55058633787163,2.984,20592571.0,291480274648.826,0.42842846956594,64.35,29669700.0,-119.1426831733,,
UZB,1.73386305963966,0.10416,413.0,24.2,,32.7,1.39879762685076,3.486,36361859.0,114965293466.611,2.86661981035524,16.34,4029000.0,1.54758954098202,,
AZE,2.91095088102775,0.20778,119.0,,,,2.16122820563689,1.43,10202830.0,74315882352.9412,4.99292395978321,8.115,2091700.0,-255.959109290849,,
GEO,3.78381539474497,0.26435,90.0,26.2,,33.9,2.02806499553233,1.802,3699557.0,34189423544.9955,1.86402941794564,58.13,304000.0,79.9350466563312,,
ARM,23.6403270515259,0.2861,40.0,23.3,,27.4,2.20833575400906,1.7,3033500.0,25955275380.0321,5.48174920349075,6.859,441600.0,76.8721086405015,,
ISR,37.2335173751738,6.34589,1592.0,27.0,,38.3,1.62581066709758,2.87,9974400.0,540379921261.681,8.77671668977531,0.75,271400.0,13.73424198863,,
SAU,0.544002126713625,0.63522,1398.0,,,,0.935259944754359,2.308,35300280.0,1239804533333.33,7.2981029390103,2.4,3430417.0,-178.200448812201,,
TUR,5.13775956987065,1.42224,8234.0,34.4,,43.7,3.22789482308636,1.48,85518661.0,1359123768774.12,1.92255231276371,227.0,20277000.0,71.9928600541247,,
ARE,8.96029397394575,1.49469,69.0,20.5,,26.4,0.693218125037315,1.213,10986400.0,552324846834.581,,0.15,50384.0,-171.482371329992,,
IRN,0.814007923197325,0.72665,10210.0,28.2,,35.9,2.37540050451863,1.684,91567738.0,475252089215.416,2.01043175751636,128.5,15699000.0,-32.4944592767049,,
EGY,3.81290087814207,1.01757,881.0,24.6,,28.5,1.31152527182627,2.735,116538258.0,389059911003.566,0.665263620234986,1.0,3103000.0,20.2563785795628,,
MAR,5.43070567261144,,254.0,,,,1.70500474577332,2.208,38081173.0,160610994054.734,3.51575374206256,29.0,6874051.8,93.6448805073888,,
DZA,0.960396672710236,0.44395,268.0,,,,1.16107238811947,2.723,46814308.0,269322281664.773,7.97145723551219,11.247,7531000.0,-129.337044067666,,
QAT,2.80655334313522,0.68058,47.0,25.8,,35.1,0.0691454145354033,1.717,2857822.0,219162637362.637,6.50020565272303,0.056,21000.0,-396.072574936239,,
KWT,5.82777648932315,0.08954,1.0,,,,0.249991818449578,1.56,4897263.0,160227273053.334,4.84093247384389,0.0,8000.0,-283.096624591869,,
OMN,5.00539346096146,0.38979,30.0,,,,0.138633928990513,2.508,5281538.0,107137198769.386,5.59419531945284,1.4,87130.0,-213.629416330893,,
JOR,2.08415985427159,0.69547,25.0,,,,0.987830151085125,2.604,11552876.0,53352289577.4648,4.80018703722722,0.682,204000.0,96.3523279332296,,
IRQ,,0.0407,635.0,24.2,,29.8,,3.221,46042015.0,279641257615.385,2.35714058035714,35.2,4969000.0,-274.87736059498,,
TUN,7.70110744284105,0.74658,180.0,27.0,,33.7,4.69348024650292,1.818,12277109.0,51332285656.5422,2.50636792573464,4.195,2831300.0,53.1400289008402,,
BRA,11.1103644206652,1.1938,4666.0,39.3,,50.3,19.2752957673079,1.614,211998573.0,2185821648943.86,0.972774559040702,5661.0,55642000.0,-13.6808969364254,,
MEX,19.3037596613987,0.25372,1117.0,33.4,,42.6,24.8589948436701,1.892,130861007.0,1856365616165.94,0.893257529320534,409.0,20023594.6,21.5843559520399,,
ARG,3.85019697474113,0.60111,406.0,31.2,,42.4,4.49291137824536,1.504,45696159.0,638365455340.04,0.618350391157195,292.0,40387343.1,0.41571453028353,,
COL,9.02469704912672,0.2894,432.0,42.7,,54.4,24.9134420347488,1.634,52886363.0,418818154879.271,3.35903368303836,2145.0,2549300.0,-141.971675507707,,
CHL,8.31650307450688,0.39205,402.0,34.3,,43.0,6.34829073035101,1.14,19764771.0,330267137371.592,1.57780388625485,885.0,1406900.0,62.2762043204213,,
PER,5.21372377596414,0.17611,94.0,30.3,,40.1,8.60480803979216,1.965,34217848.0,289221969062.941,0.909288680359786,1641.0,3918431.0,12.185965103062,,
VEN,,,96.0,,,,12.6466448562847,2.077,28405543.0,119802963257.783,0.500704497643446,805.0,2600000.0,-73.9084713357919,,
ECU,9.99836390672699,,35.0,35.1,,45.9,45.7228145164847,1.806,18135478.0,124676074700.0,2.22194770434425,442.4,1028000.0,-69.401314941725,,
DOM,7.68868351413961,,7.0,29.5,,39.0,10.9166976980638,2.222,11427557.0,124282245638.568,0.782420068931067,23.5,975759.7,94.4206892076641,,
GTM,5.39604303984542,0.00609,9.0,34.1,,45.2,23.3657267272051,2.287,18406359.0,113199581158.203,0.367622067360881,109.2,1554000.0,38.364016749015,,
URY,9.84178975855216,0.70196,23.0,30.0,,40.0,11.2453054170348,1.397,3386588.0,80961511073.5797,2.31053827798919,92.2,2199600.0,46.2068935643027,,
CRI,22.8587994049653,0.33738,15.0,34.3,,45.5,17.7454798727379,1.318,5129910.0,95350423176.5962,,113.0,167133.4,60.4214772696159,,
PAN,1.7673082163249,0.19708,35.0,37.6,,49.7,11.7072934419645,2.106,4515577.0,86523959131.7472,,136.6,565000.0,171.186492615064,,
BOL,8.79395083358911,0.06308,5.0,30.6,,40.9,4.41843313132273,2.523,12413315.0,54881327452.9667,1.37066364312669,303.5,5562567.6,-67.3339047798362,,
PRY,10.5004049492786,0.14117,10.0,35.0,,44.2,6.7795163925492,2.416,6929153.0,44458118397.4445,0.933106143624753,117.0,4561000.0,-4.69402900256069,,
NGA,2.71167186435579,0.28444,410.0,26.3,,33.9,15.7466808233499,4.382,232679478.0,252261880141.151,0.555429367236392,221.0,36872000.0,-66.2881011856041,,
ZAF,5.70923344153222,0.61479,1804.0,42.1,,54.1,43.7202551331462,2.205,64007187.0,401144998373.585,0.700150834276412,44.8,12000000.0,-12.5072996086864,,
KEN,3.15003013612034,0.81069,160.0,30.9,,38.5,4.87166844718499,3.167,56432944.0,120339557905.932,0.999546585264659,20.7,6632158.9,22.3745456763117,,
ETH,3.75062055802087,0.27437,6.0,24.8,,31.1,,3.909,132059767.0,149740297952.986,0.650506448320295,122.0,16399972.0,10.7924961213427,,
GHA,2.11003762211445,,12.0,32.2,,43.5,1.83111773115644,3.344,34427414.0,82308110386.4641,0.383994182354107,30.3,4709900.0,-22.3656522253718,,
AGO,16.6897206933082,0.03229,2.0,39.6,,51.3,4.09826656345614,5.048,37885849.0,100998916781.079,1.00049213337543,148.0,5385000.0,-353.971819384273,,
CIV,5.25759412069948,0.06975,26.0,27.8,,35.3,,4.23,31934230.0,87113179149.284,0.762358993041457,76.84,4803009.7,14.3786092266282,,
RWA,4.78472979585672,0.78149,14.0,33.4,,39.4,3.61247427164444,3.645,14256567.0,14251642235.0968,1.24772078121775,9.5,1159071.0,10.5793226381462,,
TZA,3.00569275084221,,1.0,33.1,,40.5,3.74921291744897,4.541,68560157.0,78844405385.2195,1.154617473534,84.0,13502500.0,12.9338562520213,,
CMR,2.10363029161033,,,31.1,,42.2,6.76008919336955,4.261,29123744.0,53296694320.2057,1.00912763032385,273.0,6200000.0,-28.7126841321204,,
UGA,1.91593833437355,0.4383,14.0,34.5,,42.7,8.97308867739149,4.165,50015092.0,53911907086.1525,1.88159798311992,39.0,6900000.0,20.4895150227516,,
